GROUPO,AÑO,MIN,MAX,MED,LAST
-975435787,2015,"2015-01-17 00:00:00","2015-12-18 00:00:00",12.9231,383
-975435787,2016,"2016-01-08 00:00:00","2016-12-22 00:00:00",14.0000,13
-953407696,2016,"2016-04-05 00:00:00","2016-09-13 00:00:00",5.0625,113
-951575643,2015,"2015-01-10 00:00:00","2015-04-11 00:00:00",3.5385,634
-942341938,2016,"2016-03-13 00:00:00","2016-05-01 00:00:00",6.2500,248
-930727638,2015,"2015-01-17 00:00:00","2015-04-12 00:00:00",3.3077,633
-930727638,2016,"2016-04-06 00:00:00","2016-07-21 00:00:00",8.2308,167
-927768341,2016,"2016-08-06 00:00:00","2016-09-10 00:00:00",3.0000,116
-925893551,2016,"2016-05-20 00:00:00","2016-05-26 00:00:00",1.0000,223
-914621132,2007,"2007-04-21 00:00:00","2007-12-15 00:00:00",39.8333,3308
-914621132,2008,"2008-02-02 00:00:00","2008-05-12 00:00:00",10.1000,3159
-914621132,2009,"2009-01-30 00:00:00","2009-05-04 00:00:00",13.5714,2802
-914282639,2016,"2016-05-27 00:00:00","2016-05-31 00:00:00",1.0000,218
-890322984,2015,"2015-11-12 00:00:00","2015-12-17 00:00:00",6.0000,384
-890322984,2016,"2016-01-14 00:00:00","2016-01-29 00:00:00",4.0000,341
-880030014,2016,"2016-10-31 00:00:00","2016-10-31 00:00:00",1.0000,65
-872307157,2011,"2011-12-30 00:00:00","2011-12-30 00:00:00",0.5000,1832
-872307157,2012,"2012-02-24 00:00:00","2012-02-24 00:00:00",1.0000,1776
-872307157,2014,"2014-02-14 00:00:00","2014-05-30 00:00:00",4.8182,950
-872307157,2015,"2015-07-06 00:00:00","2015-08-04 00:00:00",1.3636,519
-872307157,2016,"2016-09-19 00:00:00","2016-09-24 00:00:00",0.2727,102
-853860711,2015,"2015-09-01 00:00:00","2015-09-02 00:00:00",0.1538,490
-853860711,2016,"2016-03-19 00:00:00","2016-03-20 00:00:00",0.1538,290
-842911708,2016,"2016-05-27 00:00:00","2016-07-30 00:00:00",6.5000,158
-841292626,2013,"2013-01-06 00:00:00","2013-01-06 00:00:00",1.0000,1459
-823266542,2012,"2012-12-10 00:00:00","2012-12-28 00:00:00",9.5000,1468
-823266542,2013,"2013-01-12 00:00:00","2013-09-14 00:00:00",30.7500,1208
-817660813,2016,"2016-01-23 00:00:00","2016-12-18 00:00:00",13.7917,17
-815468009,2016,"2016-02-25 00:00:00","2016-04-07 00:00:00",7.1667,272
-801652488,2016,"2016-03-19 00:00:00","2016-05-16 00:00:00",5.3636,233
-791533613,2015,"2015-11-08 00:00:00","2015-12-20 00:00:00",7.1667,381
-791533613,2016,"2016-01-10 00:00:00","2016-05-12 00:00:00",7.2941,237
-783784722,2015,"2015-08-30 00:00:00","2015-09-01 00:00:00",0.3000,491
-783784722,2016,"2016-09-02 00:00:00","2016-09-03 00:00:00",0.2000,123
-777786857,2016,"2016-10-25 00:00:00","2016-12-20 00:00:00",6.3333,15
-770946033,2016,"2016-09-30 00:00:00","2016-12-16 00:00:00",8.6667,19
-760516195,2016,"2016-07-01 00:00:00","2016-07-08 00:00:00",1.0000,180
-752957658,2015,"2015-07-06 00:00:00","2015-12-20 00:00:00",15.2727,381
-752957658,2016,"2016-01-10 00:00:00","2016-05-12 00:00:00",10.3333,237
-749439510,2015,"2015-04-10 00:00:00","2015-12-18 00:00:00",8.1613,383
-749439510,2016,"2016-03-11 00:00:00","2016-06-09 00:00:00",7.5833,209
-741054285,2016,"2016-01-14 00:00:00","2016-03-03 00:00:00",6.2500,307
-736668783,2015,"2015-12-07 00:00:00","2015-12-24 00:00:00",0.9474,377
-726783521,2015,"2015-11-19 00:00:00","2015-12-24 00:00:00",6.0000,377
-711898796,2013,"2013-06-19 00:00:00","2013-08-14 00:00:00",6.3333,1239
-711898796,2014,"2014-06-25 00:00:00","2014-09-03 00:00:00",5.9167,854
-711898796,2015,"2015-07-01 00:00:00","2015-09-02 00:00:00",6.4000,490
-711898796,2016,"2016-02-29 00:00:00","2016-03-04 00:00:00",1.0000,306
-705824045,2016,"2016-09-16 00:00:00","2016-11-19 00:00:00",7.2222,46
-705238849,2016,"2016-01-17 00:00:00","2016-06-14 00:00:00",6.8182,204
-692979506,2015,"2015-12-06 00:00:00","2015-12-20 00:00:00",2.5000,381
-683657320,2016,"2016-04-07 00:00:00","2016-12-23 00:00:00",8.7000,12
-683259916,2016,"2016-10-16 00:00:00","2016-11-06 00:00:00",2.7500,59
-649332014,2016,"2016-06-20 00:00:00","2016-10-31 00:00:00",6.7000,65
-647618012,2016,"2016-03-03 00:00:00","2016-04-28 00:00:00",5.7000,251
-645962236,2014,"2014-12-24 00:00:00","2014-12-24 00:00:00",0.2000,742
-640150683,2015,"2015-01-29 00:00:00","2015-12-14 00:00:00",14.5455,387
-640150683,2016,"2016-04-11 00:00:00","2016-12-26 00:00:00",16.2500,9
